lon.to,lat.to,lon.from,lat.from,from,to,distance,from_population,from_pop_ratio,from_num_cars,to_population,to_pop_ratio,to_num_cars,cost
-74.0059728,40.7127753,-74.0059728,40.7127753,"New York, New York","New York, New York",0,19216182,0.22332251785897886,893,19216182,0.22332251785897886,893,100
-118.2436849,34.0522342,-74.0059728,40.7127753,"New York, New York","Los Angeles, California",2789.8852878000002,19216182,0.22332251785897886,893,13214799,0.15357692728349034,614,892.2904705693487
-87.6297982,41.8781136,-74.0059728,40.7127753,"New York, New York","Chicago, Illinois",789.4657082,19216182,0.22332251785897886,893,9458539,0.10992322745212071,440,521.4614861941717
-96.79698789999999,32.7766642,-74.0059728,40.7127753,"New York, New York","Dallas, Texas",1547.2686008,19216182,0.22332251785897886,893,7573136,0.0880118537391286,352,690.0300290493697
-95.3698028,29.7604267,-74.0059728,40.7127753,"New York, New York","Houston, Texas",1627.04269,19216182,0.22332251785897886,893,7066141,0.08211976758268436,328,705.0492585318983
-77.0368707,38.9071923,-74.0059728,40.7127753,"New York, New York","Washington, District of Columbia",227.0974654,19216182,0.22332251785897886,893,6280487,0.07298922180382059,292,326.0462999365395
-80.1917902,25.7616798,-74.0059728,40.7127753,"New York, New York","Miami, Florida",1278.0389726,19216182,0.22332251785897886,893,6166488,0.07166437258489636,287,636.2450641591025
-75.1652215,39.9525839,-74.0059728,40.7127753,"New York, New York","Philadelphia, Pennsylvania",94.56962320000001,19216182,0.22332251785897886,893,6102434,0.07091996349473792,284,245.87037128903182
-84.3879824,33.7489954,-74.0059728,40.7127753,"New York, New York","Atlanta, Georgia",866.4242340000001,19216182,0.22332251785897886,893,6020364,0.06996617990543352,280,541.5262762848888
-112.0740373,33.4483771,-74.0059728,40.7127753,"New York, New York","Phoenix, Arizona",2406.026623,19216182,0.22332251785897886,893,4948203,0.05750596829470874,230,835.7689788072068
-74.0059728,40.7127753,-118.2436849,34.0522342,"Los Angeles, California","New York, New York",2789.5447606000002,13214799,0.15357692728349034,614,19216182,0.22332251785897886,893,892.2421164864944
-118.2436849,34.0522342,-118.2436849,34.0522342,"Los Angeles, California","Los Angeles, California",0,13214799,0.15357692728349034,614,13214799,0.15357692728349034,614,100
-87.6297982,41.8781136,-118.2436849,34.0522342,"Los Angeles, California","Chicago, Illinois",2015.5357560000002,13214799,0.15357692728349034,614,9458539,0.10992322745212071,440,773.420778636953
-96.79698789999999,32.7766642,-118.2436849,34.0522342,"Los Angeles, California","Dallas, Texas",1435.7627206,13214799,0.15357692728349034,614,7573136,0.0880118537391286,352,668.3718959756894
-95.3698028,29.7604267,-118.2436849,34.0522342,"Los Angeles, California","Houston, Texas",1547.438243,13214799,0.15357692728349034,614,7066141,0.08211976758268436,328,690.062373546221
-77.0368707,38.9071923,-118.2436849,34.0522342,"Los Angeles, California","Washington, District of Columbia",2668.4109088,13214799,0.15357692728349034,614,6280487,0.07298922180382059,292,874.8499561076325
